,A-Crops,A-Livestock,A-Forestry,A-Fishery,A-Mining,A-FoodProc,A-BevTobac,A-Textile,A-PapProd,A-Chemical,A-PetRef,A-RubPlast,A-NMetMin,A-BasMet,A-MetProd,A-MachProd,A-OthMfg,A-Utility,A-Const,A-Trade,A-RestHot,A-TransComm,A-Finance,A-RealEst,A-Services,A-UnClass,C-Crops,C-Livestock,C-Forestry,C-Fishery,C-Mining,C-FoodProc,C-BevTobac,C-Textile,C-PapProd,C-Chemical,C-PetRef,C-RubPlast,C-NMetMin,C-BasMet,C-MetProd,C-MachProd,C-OthMfg,C-Utility,C-Const,C-Trade,C-RestHot,C-TransComm,C-Finance,C-RealEst,C-Services,C-UnClass,M-Crops,M-Livestock,M-Forestry,M-Fishery,M-Mining,M-FoodProc,M-BevTobac,M-Textile,M-PapProd,M-Chemical,M-PetRef,M-RubPlast,M-NMetMin,M-BasMet,M-MetProd,M-MachProd,M-OthMfg,M-Utility,M-Const,M-Trade,M-RestHot,M-TransComm,M-Finance,M-RealEst,M-Services,M-UnClass,Labor,Capital,Water,Land,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH9,HH10,ENT,Govt,Margin,Itax,Ttax,Dtax,CapAcct,ROW
M-RubPlast,,,,,,,,,,,,,,,,,,,,,,,,,,,2.761155216,0.268727308,0.010682525,4.010958421,0.131958932,11.88492769,1.396506844,8.029807527,3.89875637,8.327852402,1.766507172,2.549765092,9.057079141,0.878067211,0.298964197,18.60522674,19.59885539,0.483526233,3.464894645,10.63967563,1.768743931,0.378457103,0.21738584,0.132563345,2.777246474,15.19655787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334273798,0.028148314,0.089124813,0.114385595,0.151284365,0.207240035,0.204683797,0.348441678,0.68958089,1.370971965,,,,,,,1.58372296,
M-NMetMin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032915273,,0.181260461,,,0.669203348,0.004362794,,5.928416948,0.689676517,6.538554525,6.90969423,,8.056672236,,0.580104572,,,,,1.572264285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.384714261,0.031867415,0.100490677,0.128307638,0.169591352,0.229963554,0.225385594,0.379564673,0.741356798,1.440257134,,,,,,,6.550765831,
M-BasMet,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003942398,0.000719436,0.005248116,,0.014365108,0.560823431,0.072933349,0.010725911,0.000424821,0.23482535,,0.001831691,0.052388831,0.175624127,4.856529152,224.1722438,135.8101095,0.021060507,50.29445897,0.057014047,0.013066924,0.230019848,,0.009296253,0.83055411,1.436552763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-MetProd,,,,,,,,,,,,,,,,,,,,,,,,,,,0.844611898,0.574899478,0.003498229,0.041929645,0.191098712,33.22062473,21.83973936,3.652993106,3.513316898,4.993579994,2.138262949,0.951368816,2.824249584,0.929995668,0.270578929,34.38475273,16.63205894,1.11622016,19.4026689,0.216538323,0.158299223,2.994937328,0.084038627,0.043413643,2.09054924,2.772979765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080751095,0.080950399,0.13558929,0.169044607,0.260215916,0.279689674,0.325649561,0.404096592,0.513231191,1.183784467,,,,,,,36.72202298,
M-MachProd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.132973,278.2244034,,27.76335178,0.251699275,8.036083736,9.990582365,0.041935964,,0.142906088,7.861695967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.411305215,1.708006488,2.772543743,3.660483668,4.963504209,5.960639985,7.046976558,9.731660572,12.64789239,34.65158079,,0.10058734,,,,,578.9550917,
M-OthMfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.049440149,24.93392411,24.5761258,0.154287203,0.070572483,,0.060162214,,5.105288513,185.5235908,,9.078095327,0.003434151,0.114856683,0.013885923,0.632336195,,5.924471776,2.320867661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.207113723,4.547524706,4.500188567,5.621015593,5.832262517,6.611400763,7.471576092,8.031484764,11.94967994,18.55267313,,0.639892493,,,,,65.52032331,
M-Utility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.546483455,,,,,,,,8.955134713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066186097,0.079816043,0.111822851,0.1480168,0.198389594,0.251879637,0.341369533,0.466766226,0.597235411,1.118449472,,,,,,,,
M-Const,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326535793,
M-Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-RestHot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41151367,0.463461174,1.138868655,1.131208656,1.548248652,2.602395834,4.008310669,6.37359016,12.58039194,16.26016855,,,,,,,,
M-TransComm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006638986,,,,3.486868743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.129287415,1.440690652,2.08586615,2.745721497,3.448836073,5.163255724,7.095721155,11.3721892,16.41835106,22.27400269,,,,,,,,
M-Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.740416199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.040646867,0.054067661,0.074602378,0.112144559,0.125992745,0.15198077,0.173889586,0.257703169,0.508187814,1.503784108,,,,,,,,
M-RealEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.114702422,1.376699399,1.839084408,2.139810217,2.558923116,3.058075572,3.900622188,5.451905586,7.058700449,13.64602244,,,,,,,,
M-Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.490126096,2.338453178,2.183377894,2.863261759,4.208147892,4.002501207,5.287922251,6.988779382,9.809424208,19.05088762,,,,,,,,
M-UnClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71897293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666089796,1.375223579,0.990259027,1.384269907,2.308599547,2.170890546,2.499369654,3.735516322,5.318010334,11.58383854,,,,,,,,
Labor,110.0845173,10.37481975,3.06945087,26.91646623,44.80631307,91.36839548,13.81116533,111.6093266,12.8293289,48.35926622,13.70979579,33.39920636,11.22130578,34.1672046,20.55473768,142.2483922,92.62492692,91.2882437,40.00162986,224.6969453,60.3934659,143.6164092,78.82529976,18.28259778,593.081957,1.764832508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital,415.7329337,47.77399451,6.630936727,93.89800907,294.7255436,216.348302,38.10829616,212.4096895,117.6786806,106.266709,50.37537291,70.01793759,25.65761682,44.17500392,48.87034218,223.0743668,203.6812575,146.2962537,80.60072701,1.39E-06,107.2650887,264.9998906,83.56938862,182.7319741,188.5567852,8.055898253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.02073064,66.93040044,,,,,,,,,,,,,7.442771718,2.049525899,,,,,,3.615396067
HH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.13189217,64.36214921,,,,,,,,,,,,,12.87048092,4.31477657,,,,,,7.336100868
HH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.61641773,75.04230415,,,,,,,,,,,,,16.76615557,7.293665446,,,,,,12.48685203
HH4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.20654384,83.64420024,,,,,,,,,,,,,20.8036405,7.072318284,,,,,,12.21871473
HH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.8646658,93.67003279,,,,,,,,,,,,,25.57844016,8.166210308,,,,,,14.28279725
HH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.2165405,96.98357467,,,,,,,,,,,,,31.29682677,9.186656822,,,,,,16.33438971
HH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.4430876,136.6540966,,,,,,,,,,,,,40.60607651,11.22501275,,,,,,20.05726998
HH8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.2337814,170.1435647,,,,,,,,,,,,,55.82077901,15.31884663,,,,,,27.42130181
HH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.2666995,196.2685158,,,,,,,,,,,,,83.09403255,19.10407887,,,,,,34.25337449
HH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.1056408,5.10E-07,,,,,,,,,,,,,614.8260399,31.93765446,,,,,,57.54888015
ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733.709375,,,0.555086808,0.59322607,0.808425021,1.045991116,1.322636277,1.688944495,2.204520224,3.100193281,4.519246258,10.77399709,,143.1080184,,,,,,
Govt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.3306054,,,0.045606089,0.111267985,0.230173776,0.422075664,0.665104883,1.15779968,1.688866342,3.56735837,5.852853378,14.69727157,6.369390364,,,678.015,881.1055273,618.577144,,873.3043956
Margin,9.584027401,0.153203128,1.723097674,6.251777816,1.622684503,8.490208886,0.581376663,6.407168487,3.971519911,53.4130951,0.574711676,21.13174412,2.328890085,46.53842795,10.23200509,57.03955819,9.047658159,6.74E-08,1.30E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itax,0.456952574,0.018258477,0.338437527,0.045662389,33.54270101,7.986599158,121.1185513,15.53826421,3.191381808,3.361376918,171.5876989,2.669858486,1.261876266,1.561800446,0.984546386,49.72628579,12.41394531,26.29902238,10.01723086,68.83368411,52.67016447,12.84856802,16.74505307,38.5962294,22.18226562,4.018585071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ttax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.733876293,0.651387141,3.182210286,0.217029088,84.20842594,30.08995658,81.75811546,23.15174057,20.56102928,103.706038,30.54436047,28.82338223,7.507084892,67.80752808,31.6560081,318.5873764,38.7301017,1.428990311,0.033261284,,,,,,,0.727625097,,,,,,,,,,,,,,,,,,,,,,
Dtax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485348881,0.188098875,0.513588047,0.462542933,1.961722091,1.783872365,2.872137258,5.887348123,17.53311805,78.8450618,508.0443056,,,,,,,
CapAcct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7481805,,,,,,,,0.5704156,10.90811138,11.42529439,32.67360113,5.49E-07,479.9107204,1843.122676,,,,,,
ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.8900436,6.186322025,39.32880663,3.287185577,126.7444564,159.2409881,33.00606216,190.5605664,158.1155799,646.0598189,125.3285265,104.8333252,34.03830522,351.0572304,164.3862225,1932.468528,366.3163729,19.45255952,0.29327451,,46.51815796,76.66742935,5.743415857,42.1445458,58.22288149,35.02341508,,344.014,,,,,,,,,,2.043770529,3.074740426,7.478489046,,248.4,,,,,261,
